time,north,east,down,altitude,vxBody,vyBody,vzBody,vNorth,vEast,vDown,roll,pitch,yaw,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,alphaX,alphaY,alphaZ,mass,xcg,mach,qInf,alpha,sideSlip,Fx,Fy,Fz,Mx,My,Mz,drogueDeployed,mainDeployed
0,0,0,0,-0,0,0,0,0,0,0,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,0,0,0,0,0,0,12.02,1.19999,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000383901,0,-0.00365258,0.00365258,0.734616,0,0,0.0767883,0,-0.730592,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.4847,0,0,0,0,0,12.0133,1.19972,0.00215878,0.330542,0,0,882.791,0,0,0,0,0,0,0
0.02,0.00153593,0,-0.0146134,0.0146134,1.46969,0,0,0.153625,0,-1.46164,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.5302,0,0,0,0,0,12.0065,1.19944,0.00431891,1.32299,0,0,882.843,0,0,0,0,0,0,0
0.03,0.00345655,0,-0.0328869,0.0328869,2.20522,0,0,0.230508,0,-2.19314,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.575,0,0,0,0,0,11.9998,1.19917,0.00648037,2.97857,0,0,882.886,0,0,0,0,0,0,0
0.04,0.00614624,0,-0.0584776,0.0584776,2.94119,0,0,0.307438,0,-2.92508,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.6192,0,0,0,0,0,11.9931,1.19889,0.00864313,5.29846,0,0,882.92,0,0,0,0,0,0,0
0.05,0.00960546,0,-0.0913899,0.0913899,3.6776,0,0,0.384414,0,-3.65745,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.6626,0,0,0,0,0,11.9863,1.19862,0.0108072,8.28383,0,0,882.945,0,0,0,0,0,0,0
0.06,0.0138347,0,-0.131628,0.131628,4.41444,0,0,0.461435,0,-4.39026,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.7054,0,0,0,0,0,11.9796,1.19834,0.0129725,11.9358,0,0,882.961,0,0,0,0,0,0,0
0.07,0.0188343,0,-0.179196,0.179196,5.1517,0,0,0.5385,0,-5.12348,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.7474,0,0,0,0,0,11.9729,1.19807,0.0151391,16.2555,0,0,882.968,0,0,0,0,0,0,0
0.08,0.0246048,0,-0.234099,0.234099,5.88939,0,0,0.615608,0,-5.85712,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.7888,0,0,0,0,0,11.9661,1.19779,0.0173069,21.244,0,0,882.967,0,0,0,0,0,0,0
0.09,0.0311466,0,-0.29634,0.29634,6.62748,0,0,0.69276,0,-6.59117,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.8295,0,0,0,0,0,11.9594,1.19752,0.0194759,26.9024,0,0,882.956,0,0,0,0,0,0,0
0.1,0.0384601,0,-0.365924,0.365924,7.36597,0,0,0.769954,0,-7.32562,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.8695,0,0,0,0,0,11.9527,1.19724,0.0216461,33.2316,0,0,882.938,0,0,0,0,0,0,0
0.11,0.0465458,0,-0.442854,0.442854,8.10487,0,0,0.847189,0,-8.06047,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,73.9089,0,0,0,0,0,11.9459,1.19697,0.0238175,40.2327,0,0,882.91,0,0,0,0,0,0,0
