time,north,east,down,altitude,vxBody,vyBody,vzBody,vNorth,vEast,vDown,roll,pitch,yaw,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,alphaX,alphaY,alphaZ,mass,xcg,mach,qInf,alpha,sideSlip,Fx,Fy,Fz,Mx,My,Mz,drogueDeployed,mainDeployed
0,0,0,0,-0,0,0,0,0,0,0,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,0,0,0,0,0,0,12.02,1.19999,0,0,0,0,1.26481e-321,2.96439e-323,3.06691e-312,6.95277e-310,3.06691e-312,2.122e-314,0,0
0.01,0.000345349,0,-0.00365547,0.00365547,0.734427,0,0,0.0690772,0,-0.731172,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.466,0,0,0,0,0,12.0133,1.19972,0.014661,15.2453,1.51213,-2.7911,882.567,0,0,0,0,0,0,0
0.02,0.00138169,0,-0.014625,0.014625,1.46932,0,0,0.138198,0,-1.46281,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.5124,0,0,0,0,0,12.0065,1.19944,0.0149439,15.8394,1.36736,-2.7911,882.629,0,0,0,0,0,0,0
0.03,0.00310946,0,-0.0329131,0.0329131,2.20467,0,0,0.207363,0,-2.1949,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.5584,0,0,0,0,0,11.9998,1.19917,0.0155254,17.0961,1.23062,-2.7911,882.686,0,0,0,0,0,0,0
0.04,0.00552908,0,-0.0585245,0.0585245,2.94049,0,0,0.27657,0,-2.92745,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.6041,0,0,0,0,0,11.9931,1.19889,0.0163743,19.0165,1.10581,-2.7911,882.739,0,0,0,0,0,0,0
0.05,0.008641,0,-0.0914637,0.0914637,3.67676,0,0,0.34582,0,-3.66046,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.6495,0,0,0,0,0,11.9863,1.19862,0.017452,21.602,0.994766,-2.7911,882.788,0,0,0,0,0,0,0
0.06,0.0124456,0,-0.131735,0.131735,4.41348,0,0,0.415113,0,-4.39391,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.6946,0,0,0,0,0,11.9796,1.19834,0.0187195,24.8537,0.897623,-2.7911,882.832,0,0,0,0,0,0,0
0.07,0.0169434,0,-0.179343,0.179343,5.15065,0,0,0.484448,0,-5.12781,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.7394,0,0,0,0,0,11.9729,1.19807,0.0201414,28.7728,0.813433,-2.7911,882.871,0,0,0,0,0,0,0
0.08,0.0221347,0,-0.234293,0.234293,5.88826,0,0,0.553826,0,-5.86216,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.7838,0,0,0,0,0,11.9661,1.19779,0.0216879,33.3605,0.740744,-2.7911,882.907,0,0,0,0,0,0,0
0.09,0.0280201,0,-0.296588,0.296588,6.62632,0,0,0.623244,0,-6.59695,0,1.4766,0,0.739613,0,0.673032,0,0,0,0,73.828,0,0,0,0,0,11.9594,1.19752,0.0233344,38.618,0.677977,-2.7911,882.938,0,0,0,0,0,0,0
