time,north,east,down,altitude,vxBody,vyBody,vzBody,vNorth,vEast,vDown,roll,pitch,yaw,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,alphaX,alphaY,alphaZ,mass,xcg,mach,qInf,alpha,sideSlip,Fx,Fy,Fz,Mx,My,Mz,drogueDeployed,mainDeployed
0,0,0,0,-0,0,0,0,0,0,0,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,0,0,0,0,0,0,11.6771,1.20205,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0.000378391,0,-0.00377529,0.00377529,0.758923,0,0,0.0756865,0,-0.755139,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,75.917,0,0,0,0,0,11.6704,1.20177,0.0146535,15.2296,1.51254,-2.79092,885.979,0,0,0,0,0,0,0
0.02,0.00151389,0,-0.0151044,0.0151044,1.51834,0,0,0.151422,0,-1.51077,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,75.9661,0,0,0,0,0,11.6636,1.20148,0.0149503,15.853,1.36296,-2.79092,886.041,0,0,0,0,0,0,0
0.03,0.003407,0,-0.0339923,0.0339923,2.27824,0,0,0.227207,0,-2.26689,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.0148,0,0,0,0,0,11.6569,1.2012,0.0155652,17.1838,1.22212,-2.79092,886.098,0,0,0,0,0,0,0
0.04,0.00605819,0,-0.0604437,0.0604437,3.03863,0,0,0.303039,0,-3.02348,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.0632,0,0,0,0,0,11.6502,1.20092,0.0164632,19.2236,1.09421,-2.79092,886.15,0,0,0,0,0,0,0
0.05,0.00946795,0,-0.0944636,0.0944636,3.79951,0,0,0.37892,0,-3.78056,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.1113,0,0,0,0,0,11.6434,1.20064,0.0176014,21.9736,0.981089,-2.79092,886.197,0,0,0,0,0,0,0
0.06,0.0136368,0,-0.136057,0.136057,4.56086,0,0,0.454849,0,-4.53812,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.159,0,0,0,0,0,11.6367,1.20036,0.0189372,25.4351,0.882739,-2.79092,886.24,0,0,0,0,0,0,0
0.07,0.0185651,0,-0.185228,0.185228,5.32268,0,0,0.530825,0,-5.29615,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.2063,0,0,0,0,0,11.63,1.20007,0.0204322,29.6095,0.797997,-2.79092,886.278,0,0,0,0,0,0,0
0.08,0.0242534,0,-0.241981,0.241981,6.08498,0,0,0.606848,0,-6.05465,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.2534,0,0,0,0,0,11.6232,1.19979,0.0220545,34.498,0.725211,-2.79092,886.311,0,0,0,0,0,0,0
0.09,0.0307022,0,-0.306322,0.306322,6.84775,0,0,0.682918,0,-6.81361,0,1.4709,0,0.741528,0,0.670921,0,0,0,0,76.3001,0,0,0,0,0,11.6165,1.19951,0.0237785,40.1019,0.662644,-2.79092,886.341,0,0,0,0,0,0,0
