time,north,east,down,altitude,vxBody,vyBody,vzBody,vNorth,vEast,vDown,roll,pitch,yaw,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,alphaX,alphaY,alphaZ,mass,xcg,mach,qInf,alpha,sideSlip,Fx,Fy,Fz,Mx,My,Mz,drogueDeployed,mainDeployed
0,0,0,0,-0,0,0,0,0,0,0,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,0,0,0,0,0,0,12.02,1.19999,0,0,0,0,1.41397e-312,3.26083e-322,0,0,1.41397e-312,6.95277e-310,0,0
0.01,-2.22332e-05,0,0.000211534,-0.000211534,-0.015025,0,0,-0.00157054,0,0.0149427,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,6.75351,0,0,0,0,0,12.0133,1.19972,4.41532e-05,0.000138272,3.14159,0,81.1317,0,0,0,0,0,0,0
0.02,2.61433e-05,0,-0.000248736,0.000248736,0.135132,0,0,0.0141251,0,-0.134392,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,23.281,0,0,0,0,0,12.0065,1.19944,0.000397106,0.0111846,0,0,279.524,0,0,0,0,0,0,0
0.03,0.000317888,0,-0.0030245,0.0030245,0.450656,0,0,0.0471064,0,-0.448187,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,39.8269,0,0,0,0,0,11.9998,1.19917,0.00132432,0.124393,0,0,477.915,0,0,0,0,0,0,0
0.04,0.000997333,0,-0.00948899,0.00948899,0.849581,0,0,0.0888054,0,-0.844927,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,39.9581,0,0,0,0,0,11.9931,1.19889,0.00249662,0.442095,0,0,479.22,0,0,0,0,0,0,0
0.05,0.00209445,0,-0.0199274,0.0199274,1.24982,0,0,0.130642,0,-1.24297,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.0893,0,0,0,0,0,11.9863,1.19862,0.00367278,0.956751,0,0,480.524,0,0,0,0,0,0,0
0.06,0.00361062,0,-0.0343528,0.0343528,1.65137,0,0,0.172615,0,-1.64232,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.2206,0,0,0,0,0,11.9796,1.19834,0.00485279,1.67029,0,0,481.827,0,0,0,0,0,0,0
0.07,0.00554721,0,-0.0527781,0.0527781,2.05422,0,0,0.214725,0,-2.04297,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.3507,0,0,0,0,0,11.9729,1.19807,0.00603665,2.58464,0,0,483.114,0,0,0,0,0,0,0
0.08,0.00790557,0,-0.0752165,0.0752165,2.45838,0,0,0.256971,0,-2.44492,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.4809,0,0,0,0,0,11.9661,1.19779,0.00722433,3.70171,0,0,484.4,0,0,0,0,0,0,0
0.09,0.0106871,0,-0.101681,0.101681,2.86384,0,0,0.299353,0,-2.84815,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.6111,0,0,0,0,0,11.9594,1.19752,0.00841584,5.02343,0,0,485.685,0,0,0,0,0,0,0
0.1,0.0138931,0,-0.132184,0.132184,3.2706,0,0,0.341871,0,-3.25268,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.7402,0,0,0,0,0,11.9527,1.19724,0.00961116,6.55172,0,0,486.954,0,0,0,0,0,0,0
0.11,0.0175249,0,-0.166739,0.166739,3.67865,0,0,0.384523,0,-3.6585,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.8693,0,0,0,0,0,11.9459,1.19697,0.0108103,8.28849,0,0,488.222,0,0,0,0,0,0,0
0.12,0.021584,0,-0.205358,0.205358,4.08799,0,0,0.427311,0,-4.06559,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,40.9985,0,0,0,0,0,11.9392,1.1967,0.0120132,10.2357,0,0,489.489,0,0,0,0,0,0,0
0.13,0.0260716,0,-0.248055,0.248055,4.49861,0,0,0.470233,0,-4.47397,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.1265,0,0,0,0,0,11.9325,1.19642,0.0132199,12.3952,0,0,490.74,0,0,0,0,0,0,0
0.14,0.0309891,0,-0.294842,0.294842,4.91052,0,0,0.513289,0,-4.88362,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.2546,0,0,0,0,0,11.9257,1.19615,0.0144303,14.7689,0,0,491.991,0,0,0,0,0,0,0
0.15,0.0363378,0,-0.345731,0.345731,5.3237,0,0,0.556478,0,-5.29454,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.3827,0,0,0,0,0,11.919,1.19588,0.0156446,17.3588,0,0,493.24,0,0,0,0,0,0,0
0.16,0.0421191,0,-0.400737,0.400737,5.73816,0,0,0.599801,0,-5.70673,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.5096,0,0,0,0,0,11.9123,1.19561,0.0168625,20.1667,0,0,494.474,0,0,0,0,0,0,0
0.17,0.0483343,0,-0.45987,0.45987,6.15389,0,0,0.643257,0,-6.12018,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.6366,0,0,0,0,0,11.9055,1.19533,0.0180842,23.1946,0,0,495.706,0,0,0,0,0,0,0
0.18,0.0549847,0,-0.523144,0.523144,6.5709,0,0,0.686846,0,-6.5349,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.7637,0,0,0,0,0,11.8988,1.19506,0.0193097,26.4444,0,0,496.938,0,0,0,0,0,0,0
0.19,0.0620717,0,-0.590572,0.590572,6.98916,0,0,0.730566,0,-6.95087,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,41.8896,0,0,0,0,0,11.8921,1.19479,0.0205388,29.918,0,0,498.154,0,0,0,0,0,0,0
0.2,0.0695965,0,-0.662166,0.662166,7.40869,0,0,0.774419,0,-7.3681,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,42.0155,0,0,0,0,0,11.8853,1.19452,0.0217717,33.6172,0,0,499.369,0,0,0,0,0,0,0
0.21,0.0775605,0,-0.737939,0.737939,7.82947,0,0,0.818403,0,-7.78658,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,42.1415,0,0,0,0,0,11.8786,1.19425,0.0230083,37.544,0,0,500.582,0,0,0,0,0,0,0
0.22,0.085965,0,-0.817902,0.817902,8.25151,0,0,0.862518,0,-8.20631,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,42.2664,0,0,0,0,0,11.8719,1.19398,0.0242485,41.7003,0,0,501.781,0,0,0,0,0,0,0
0.23,0.0948113,0,-0.902069,0.902069,8.6748,0,0,0.906764,0,-8.62728,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,42.3913,0,0,0,0,0,11.8651,1.19371,0.0254925,46.088,0,0,502.978,0,0,0,0,0,0,0
0.24,0.104101,0,-0.990452,0.990452,9.09934,0,0,0.95114,0,-9.04949,0,1.46608,0,0.743145,0,0.669131,0,0,0,0,42.5162,0,0,0,0,0,11.8584,1.19344,0.0267401,50.7089,0,0,504.174,0,0,0,0,0,0,0
