time,north,east,down,altitude,vxBody,vyBody,vzBody,vNorth,vEast,vDown,roll,pitch,yaw,q0,q1,q2,q3,wx,wy,wz,ax,ay,az,alphaX,alphaY,alphaZ,mass,xcg,mach,qInf,alpha,sideSlip,Fx,Fy,Fz,Mx,My,Mz,drogueDeployed,mainDeployed
0,0,0,0,-0,0,0,0,0,0,0,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,0,0,0,0,0,0,13.02,1.19462,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-2.87329e-05,0,0.000230991,-0.000230991,-0.0211536,0,0,-0.00261117,0,0.0209919,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,5.50611,0,0,0,0,0,13.0133,1.19436,6.21631e-05,0.000274079,3.14159,0,71.6525,0,0,0,0,0,0,0
0.02,1.05171e-05,0,-8.45492e-05,8.45492e-05,0.110175,0,0,0.0135998,0,-0.109332,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,20.7622,0,0,0,0,0,13.0065,1.1941,0.000323765,0.00743482,0,0,270.044,0,0,0,0,0,0,0
0.03,0.000306069,0,-0.00246056,0.00246056,0.394143,0,0,0.0486524,0,-0.391129,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.0341,0,0,0,0,0,12.9998,1.19385,0.00115825,0.095151,0,0,468.436,0,0,0,0,0,0,0
0.04,0.00101524,0,-0.00816174,0.00816174,0.755079,0,0,0.0932058,0,-0.749305,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.1532,0,0,0,0,0,12.9931,1.19359,0.00221891,0.349213,0,0,469.741,0,0,0,0,0,0,0
0.05,0.00217068,0,-0.0174506,0.0174506,1.11721,0,0,0.137906,0,-1.10866,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.2724,0,0,0,0,0,12.9863,1.19333,0.00328308,0.764492,0,0,471.045,0,0,0,0,0,0,0
0.06,0.00377386,0,-0.0303389,0.0303389,1.48053,0,0,0.182754,0,-1.4692,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.3916,0,0,0,0,0,12.9796,1.19308,0.00435075,1.34257,0,0,472.349,0,0,0,0,0,0,0
0.07,0.00582625,0,-0.0468386,0.0468386,1.84503,0,0,0.227748,0,-1.83092,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.5098,0,0,0,0,0,12.9729,1.19282,0.00542191,2.08503,0,0,473.637,0,0,0,0,0,0,0
0.08,0.00832931,0,-0.0669613,0.0669613,2.21072,0,0,0.272888,0,-2.19382,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.6281,0,0,0,0,0,12.9661,1.19256,0.00649655,2.99345,0,0,474.924,0,0,0,0,0,0,0
0.09,0.0112845,0,-0.0907189,0.0907189,2.5776,0,0,0.318175,0,-2.55788,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.7463,0,0,0,0,0,12.9594,1.19231,0.00757466,4.06942,0,0,476.211,0,0,0,0,0,0,0
0.1,0.0146933,0,-0.118123,0.118123,2.94565,0,0,0.363606,0,-2.92312,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.8636,0,0,0,0,0,12.9527,1.19205,0.00865623,5.3145,0,0,477.482,0,0,0,0,0,0,0
0.11,0.0185571,0,-0.149185,0.149185,3.31487,0,0,0.409182,0,-3.28952,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,36.9809,0,0,0,0,0,12.9459,1.1918,0.00974125,6.73027,0,0,478.752,0,0,0,0,0,0,0
0.12,0.0228774,0,-0.183917,0.183917,3.68526,0,0,0.454903,0,-3.65708,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.0982,0,0,0,0,0,12.9392,1.19154,0.0108297,8.31832,0,0,480.021,0,0,0,0,0,0,0
0.13,0.0276557,0,-0.222331,0.222331,4.05683,0,0,0.500768,0,-4.0258,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.2144,0,0,0,0,0,12.9325,1.19129,0.0119216,10.0802,0,0,481.274,0,0,0,0,0,0,0
0.14,0.0328933,0,-0.264437,0.264437,4.42955,0,0,0.546777,0,-4.39568,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.3307,0,0,0,0,0,12.9257,1.19103,0.0130169,12.0175,0,0,482.527,0,0,0,0,0,0,0
0.15,0.0385917,0,-0.310248,0.310248,4.80344,0,0,0.592929,0,-4.76671,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.4471,0,0,0,0,0,12.919,1.19078,0.0141157,14.1318,0,0,483.779,0,0,0,0,0,0,0
0.16,0.0447523,0,-0.359775,0.359775,5.17849,0,0,0.639225,0,-5.13888,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.5624,0,0,0,0,0,12.9123,1.19053,0.0152178,16.4247,0,0,485.016,0,0,0,0,0,0,0
0.17,0.0513766,0,-0.413029,0.413029,5.55469,0,0,0.685662,0,-5.51221,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.6778,0,0,0,0,0,12.9055,1.19027,0.0163234,18.8977,0,0,486.252,0,0,0,0,0,0,0
0.18,0.058466,0,-0.470023,0.470023,5.93204,0,0,0.732243,0,-5.88668,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.7932,0,0,0,0,0,12.8988,1.19002,0.0174323,21.5524,0,0,487.487,0,0,0,0,0,0,0
0.19,0.066022,0,-0.530767,0.530767,6.31055,0,0,0.778964,0,-6.26229,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,37.9075,0,0,0,0,0,12.8921,1.18976,0.0185446,24.3904,0,0,488.706,0,0,0,0,0,0,0
0.2,0.0740458,0,-0.595272,0.595272,6.69019,0,0,0.825828,0,-6.63903,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.0219,0,0,0,0,0,12.8853,1.18951,0.0196603,27.4132,0,0,489.925,0,0,0,0,0,0,0
0.21,0.082539,0,-0.663551,0.663551,7.07099,0,0,0.872832,0,-7.01691,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.1363,0,0,0,0,0,12.8786,1.18926,0.0207793,30.6224,0,0,491.143,0,0,0,0,0,0,0
0.22,0.0915029,0,-0.735614,0.735614,7.45292,0,0,0.919977,0,-7.39592,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.2497,0,0,0,0,0,12.8719,1.18901,0.0219017,34.0195,0,0,492.345,0,0,0,0,0,0,0
0.23,0.100939,0,-0.811473,0.811473,7.83598,0,0,0.967262,0,-7.77605,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.3632,0,0,0,0,0,12.8651,1.18875,0.0230274,37.6062,0,0,493.547,0,0,0,0,0,0,0
0.24,0.110849,0,-0.891139,0.891139,8.22018,0,0,1.01469,0,-8.15731,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.4766,0,0,0,0,0,12.8584,1.1885,0.0241565,41.3839,0,0,494.748,0,0,0,0,0,0,0
0.25,0.121233,0,-0.974623,0.974623,8.60551,0,0,1.06225,0,-8.53969,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.589,0,0,0,0,0,12.8517,1.18825,0.0252889,45.3543,0,0,495.933,0,0,0,0,0,0,0
0.26,0.132094,0,-1.06194,1.06194,8.99196,0,0,1.10995,0,-8.92319,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.7015,0,0,0,0,0,12.8449,1.188,0.0264245,49.5189,0,0,497.118,0,0,0,0,0,0,0
0.27,0.143433,0,-1.15309,1.15309,9.37954,0,0,1.1578,0,-9.30781,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.814,0,0,0,0,0,12.8382,1.18775,0.0275635,53.8792,0,0,498.302,0,0,0,0,0,0,0
0.28,0.15525,0,-1.2481,1.2481,9.76824,0,0,1.20578,0,-9.69353,0,1.44704,0,0.749479,0,0.662028,0,0,0,0,38.9254,0,0,0,0,0,12.8315,1.1875,0.0287058,58.4368,0,0,499.471,0,0,0,0,0,0,0
